partidos
"16:00
 62'
Stoke City
0 - 1
Birmingham City
8"
"16:00
 62'
Watford
0 - 1
Coventry City
15"
"16:00
 62'
Middlesbrough
1 - 1
Bristol City
4"
"16:00
 62'
Rotherham United
1 - 2
Norwich City
11"
"16:00
 62'
Sunderland
0 - 1
Cardiff City
0"
"16:00
 62'
Blackburn Rovers
1 - 0
Huddersfield Town
16"
"16:00
 62'
Millwall
0 - 0
Hull City
5"
"16:00
 62'
Swansea City
1 - 2
Wigan Athletic
20"
"16:00
 62'
Blackpool
0 - 0
Luton Town
2"
"12:00
 Finalizado
Sochi
1 - 1
Spartak Moskva
24"
"14:30
 Finalizado
Zenit
1 - 2
Akhmat Grozny
209"
"14:30
 Finalizado
Fakel
3 - 3
FK Krasnodar
3"
"17:00
 17'
CSKA Moskva
0 - 0
Nizhny Novgorod
4"
"08:30
 Aplazado
Dalian Pro
-
Meizhou Hakka
0"
"08:30
 Aplazado
Shanghai Shenhua
-
Beijing Guoan
0"
"12:30
 Aplazado
Chengdu Rongcheng
-
Guangzhou City
0"
"12:30
 Aplazado
Shandong Taishan
-
Wuhan FC
0"
"13:00
 Aplazado
Hebei FC
-
Zhejiang Pro
0"
"18:30
 en 1 h
Catar
18:30
Panamá
20"
"16:00
 62'
Ross County FC
2 - 2
St. Mirren
0"
"16:00
 62'
Celtic
2 - 1
Dundee United
45"
"14:45
 Finalizado
Lamia
2 - 2
Volos Football
20"
"17:30
 en 12 min
OFI
17:30
Ionikos Nikea
0"
"18:00
 en 42 min
Atromitos
18:00
Aris Thessaloniki
0"
"20:00
 en 2 h
PAOK
20:00
PAS Giannina
0"
"12:30
 Finalizado
Giresunspor
3 - 2
Istanbulspor AS
14"
"18:00
 en 42 min
Galatasaray SK
18:00
Beşiktaş
4"
"17:00
 17'
SD Compostela
0 - 0
Gimnástica
6"
"17:30
 en 12 min
CD Laredo
17:30
Palencia Cristo A.
4"
"18:00
 en 42 min
Langreo
18:00
CD Lugo B
1"
"17:00
 17'
AD San Juan
0 - 0
Izarra
0"
"18:30
 en 1 h
SD Gernika
18:30
Utebo
2"
"18:30
 en 1 h
Espanyol B
18:30
Teruel
33"
"12:00
 Finalizado
FC Cartagena B
1 - 0
Sevilla At.
11"
"16:00
 62'
Cádiz Mirandilla
1 - 0
Mancha Real
9"
"18:00
 en 42 min
At. Sanluqueño
18:00
UCAM Murcia
26"
Nombre Datos
LIGAS
Primera División 13/38 Ayer
Premier League 15/38 Ayer
Serie A 13/38 Ayer
Bundesliga 13/34 Ayer
Ligue 1 14/38 Ayer
Primera Federación 2 gr Ayer
Liga Brasileña 36/38 Hoy
Eredivisie 13/34 Ayer
Liga Portuguesa 12/34 Ayer
Segunda Federación 5 gr Ayer
Primera Femenina 8/30 Ayer
Eerste Divisie 14/38 En 2 días
Eredivisie Femenina 7/22 Mañana
COMPETICIONES
Copa del Rey 2/8 En 6 días
Clasificación Europeo Su. 3/3 En 10 días
Copa de la Reina 3/7 En 16 días
Clasificación Europeo Su. 7/8 En 1 días
Amistosos Selecciones Su. 6/7 En 10 días
Amistosos Selecciones Su. 8/9 En 10 días
Amistosos Selecciones Su. 9/10 En 10 días
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
